Gene,Fold_Difference
A28102_at,43.6
AB000114_at,8.7
AB000115_at,30.9014084507042
AB000220_at,9.6
AB000409_at,21.8
AB000449_at,34.6785714285714
AB000450_at,27.8
AB000460_at,3.25
AB000462_at,27.65
AB000464_at,12.0287081339713
AB000466_at,1
AB000467_at,1
AB000468_at,121.65
AB000584_at,94.25
AB000895_at,19.65
AB000896_at,5.55
AB000897_at,1
AB000905_at,13.5
AB001106_at,6.125
AB001325_at,5.48189415041783
AB002314_at,6.85
AB002315_at,33
AB002318_at,30.5671641791045
AB002365_at,13
AB002366_at,6.45
AB002380_at,22.9
AB002382_at,8.45081967213115
AB002409_at,10.6
AB002559_at,22.3478260869565
AB003102_at,4.5
AB003103_at,22.65
AB003177_at,6.73979591836735
AB003698_at,26
AB004884_at,4.49164677804296
AB006190_at,3.38940809968847
AC000061_cds2_at,49.1
AC000061_cds3_at,1.3
AC000062_at,2.15
AC000064_cds1_at,6.18620689655172
AC000064_cds2_at,7.09302325581395
AC000066_at,4.45
AC000099_at,16.8
AC000115_cds1_at,5.5
AC002045_xpt1_at,17.15
AC002073_cds1_at,31.7
AC002077_at,3.55
AC002086_at,6.15
AC002115_cds1_at,5.82748091603053
AC002115_cds3_at,2.65
AC002115_cds4_at,1
AC002115_rna2_at,13.5135135135135
AC002450_at,5.95
AC002464_at,13.85
AC002486_at,17.6
AD000092_cds1_at,26.9
AD000092_cds2_at,1
AD000684_cds1_at,4.4
AD001527_cds1_at,8.80645161290323
AF000177_at,24.25
AF000231_at,35.2
AF000234_at,15.4
AF000430_at,5.6
AF000545_at,7.7
AF000560_at,43.25
AF000562_at,5.67517401392111
AF000573_rna1_at,1.85
AF000959_at,4.45
AF001294_at,23.45
AF001620_at,3.9
AF002020_at,21.95
AF002224_at,44.65
AF002700_at,8.3515625
AF003743_at,49.1
AF005037_at,10.35
AF005043_at,9.8
AF005361_at,3.4
AF005775_at,4.22635135135135
AF005887_at,16.95
AF006041_at,30.8115942028986
AF006084_at,25.547619047619
AF006087_at,84.65
AF006609_at,8.65
AF007111_at,24.35
AF007551_at,23.25
AF007875_at,10.712962962963
AF008445_at,91.45
AF008937_at,43.1739130434783
AF009301_at,50.35
AF009368_at,3.47661469933185
AF009426_at,13.4
AF009674_at,28.65
AF010193_at,87.85
AF012270_at,24.25
