Gene_Name,S2N_ALL
U22376_cds2_s_at,1.54233442542261
M18000_at,1.53599545338578
X15954_rna1_s_at,1.53588058793723
U17977_at,1.53588058793723
HG3214-HT3391_at,1.53000067094459
HG1800-HT1823_at,1.52902759029946
U31215_s_at,1.52547439807362
X54667_at,1.51819073681897
U50146_at,1.51819073681897
J05008_at,1.51819073681897
HG273-HT273_at,1.51819073681897
M26708_s_at,1.51575288143708
U32989_at,1.51474855171621
HG4340-HT4610_at,1.51474855171621
X03342_at,1.51471744671667
M17885_at,1.51169543950466
X15940_at,1.50328179481019
L06895_at,1.49241910684388
Z83741_at,1.49154998924149
U80456_at,1.49154998924149
U79751_at,1.49154998924149
L20688_at,1.48160861961824
M90359_at,1.48085619398619
AC000061_cds3_at,1.48085619398619
L04483_s_at,1.4765000765081
M60854_at,1.46919402023681
U16126_at,1.46905480500732
X53742_at,1.46595884118422
X02544_at,1.46595884118422
HG2723-HT2819_at,1.46595884118422
D79987_at,1.46595884118422
X15414_at,1.45929146648297
S62027_s_at,1.45800364747492
U84551_cds2_at,1.45703494112946
X06617_at,1.44931667338865
S68134_s_at,1.44268797912899
M62982_at,1.44232022000372
X73460_at,1.43755605263239
X02761_s_at,1.43241829298143
Z83806_at,1.43220386797121
M24194_at,1.42323076451104
U60319_at,1.42101321777312
Z11850_at,1.4198598023283
M60314_at,1.4198598023283
M60047_at,1.4198598023283
D88146_at,1.4198598023283
HG3364-HT3541_at,1.41975030590145
M17733_at,1.41918876973211
X99374_s_at,1.41768663391337
M14199_s_at,1.41739599959124
U14973_at,1.41674297315823
D26156_s_at,1.40723275961147
U20499_at,1.40606408647508
X55954_at,1.40178591703489
Y11416_at,1.39892848472408
M17886_at,1.39782540915886
X62691_at,1.39536869501818
M33318_r_at,1.39489731980148
S74720_at,1.3943347201935
X59417_at,1.39333133077792
Z70759_at,1.38397692858763
L12052_at,1.38140341133967
M65214_s_at,1.37326084487904
D13413_rna1_s_at,1.36615516928666
U04313_at,1.36549587497883
M10277_s_at,1.36339636187775
HG4319-HT4589_at,1.35260279368415
Z80788_at,1.35177075313141
M57506_rna1_at,1.35177075313141
HG2706-HT2802_at,1.35177075313141
AB005535_s_at,1.35177075313141
M31211_s_at,1.35162099771378
M81757_at,1.34696237444715
Y00317_at,1.34550935036178
M31303_rna1_at,1.34485382081968
Z26876_at,1.34125579189987
X83929_s_at,1.33170642845878
U33054_at,1.33134710507669
Z23091_rna1_at,1.32893617642269
U14970_at,1.32307341856968
X91257_at,1.31852531792636
Z12962_at,1.31810748754343
X77777_s_at,1.31570940197191
D42038_at,1.31570940197191
D13638_s_at,1.31570940197191
U06155_s_at,1.31520435908673
X02158_rna1_at,1.31469982055215
D14530_at,1.31399837440709
X98482_r_at,1.31346662411338
S83249_at,1.31074052661351
L06499_at,1.30985385631802
X86564_at,1.30152255188821
X56411_rna1_at,1.2966552146699
M84711_at,1.29632832692756
D63874_at,1.29259501407288
M89914_s_at,1.29258514409002
V00533_rna1_f_at,1.29062429148332
U20362_at,1.28851243964023
K02402_at,1.28249953916485
U12404_at,1.28054930765747
M92287_at,1.27980907770757
HG613-HT613_at,1.27910316659893
D23673_at,1.27738083137284
X79200_s_at,1.2763303621442
U09087_s_at,1.27601148294962
M32402_at,1.27417704507997
HG3137-HT3313_at,1.27417704507997
HG1227-HT1227_s_at,1.27417704507997
M64554_rna1_at,1.27278766272498
U58682_at,1.27156562712321
U88666_at,1.26716631455772
L49219_f_at,1.26278063811557
S69232_at,1.26277071210851
D38073_at,1.2625617801434
V00551_f_at,1.26112864813339
HG821-HT821_at,1.26014656146322
M82827_s_at,1.25963990564611
D32050_at,1.25701201022237
Z70222_at,1.25637483795374
U92459_at,1.25637483795374
M16652_s_at,1.25637483795374
M14338_at,1.25637483795374
M13577_at,1.25637483795374
D79205_at,1.25593865702235
X63469_at,1.25352462581927
D26350_at,1.25016557025985
M73746_s_at,1.2476966499279
Y08612_at,1.24530498252141
M60331_at,1.24437568995346
L19527_at,1.24322901418805
X02883_at,1.23914909317045
M76125_s_at,1.23914909317045
L77571_at,1.23914909317045
HG2855-HT2995_at,1.23907894006683
M23613_at,1.23087084719828
Z48520_at,1.22808069450914
AB002533_at,1.22743056141545
J04617_s_at,1.22611722522829
S50223_at,1.22428087705992
M14483_rna1_s_at,1.22401686523165
U59286_at,1.22333203992126
D49742_at,1.22333203992126
X80822_at,1.22251779977189
U33837_at,1.2224722567681
M29580_at,1.2224722567681
L09753_at,1.2224722567681
HG4310-HT4580_at,1.2224722567681
HG3872-HT4142_at,1.2224722567681
M11353_at,1.22192887711422
M28170_at,1.22191335506962
HG1612-HT1612_at,1.21933032438938
D50063_at,1.21390304587731
L09234_at,1.2136219239246
U66580_at,1.21354875504309
D21851_at,1.20847210830431
D23660_at,1.20753116720423
L13278_at,1.20681556784269
X82629_at,1.20631850329086
U03877_at,1.20631850329086
S48983_at,1.20631850329086
HG458-HT458_f_at,1.20631850329086
S79522_at,1.20478874667444
X74262_at,1.20414037474596
X84194_at,1.20392991631939
U49869_rna1_at,1.20297778405941
HG3549-HT3751_at,1.2020844144683
Z80777_at,1.20110055256159
L07758_at,1.20102277899721
X55715_at,1.19940913601122
M36072_at,1.19627287061111
U05259_rna1_at,1.19582568725413
M64716_at,1.1944347109189
Z15115_at,1.19422153822189
