Gene_Name,S2N_AML
X70070_at,5461.01399955788
M35198_at,2905.19353180643
U39400_at,2658.65110100572
D13640_at,1886.13062582891
U66497_at,1378.6315099257
AF000560_at,638.262335306075
M65217_at,548.006964054077
L13852_at,424.74885959639
L19314_at,416.179742120598
U29343_at,399.820792518074
M27161_at,375.075076325524
M63256_at,351.492040567008
U81600_at,341.802720193103
Y00285_s_at,330.142543468176
M34423_at,324.699434882536
U10686_at,321.945950297684
J02683_s_at,289.813815753931
X78926_at,289.114247034584
Y07566_at,284.410388092259
HG3132-HT3308_at,279.799541646292
U83598_at,264.99740606548
U21936_at,241.712606357119
K02766_at,237.196493691351
U89942_at,235.525618940602
M74525_at,219.175220542938
Z35402_rna1_s_at,215.230877049624
L11284_at,184.085774183677
HG919-HT919_at,184.074062939049
M74826_at,183.90513389349
U69108_at,179.107993450912
U62432_at,171.3876630649
X59373_at,168.206384124518
U07223_at,161.286259602642
X90824_s_at,159.552201932611
X02152_at,142.191786701063
U28049_at,139.846041762248
U64315_s_at,135.927728201481
U90914_at,134.813401519949
U02493_at,134.164498105999
D16593_at,124.289098574115
L78132_at,122.332926320403
M63623_at,119.351515049411
U22055_at,117.825855633254
M69225_at,112.848360217623
L11066_at,111.903705827605
L05568_at,107.977990889371
D50912_at,106.66597239944
X60003_s_at,103.499482196669
U59228_at,97.6015909108093
D38122_at,97.0834659246433
U61167_at,94.2828338438218
U62801_at,93.130782114352
D21267_at,87.8202405548069
D87458_at,87.6205051306774
X77584_at,84.9339557087186
Y00318_at,80.5183298537706
U81262_at,79.9185951135669
U78722_at,78.1463463306938
U80017_rna3_at,77.9114080839171
Y13153_at,77.7539556309213
X68242_at,77.1266487461844
L10333_s_at,73.2884608571218
S75295_at,72.160851698511
U41816_at,71.934066330871
D26600_at,71.9275363641625
X07994_at,70.4994932246344
X60221_at,69.8118683212909
Z35093_at,68.5654934572621
HG3627-HT3836_at,67.0042581423975
S80437_s_at,66.2342337397052
AB000905_at,65.0403993929892
M62831_at,64.7128562234058
U48736_at,64.5135091499542
D85815_at,63.4098737210418
U20908_at,63.2282580474113
Z80787_at,62.1163622214395
U19261_at,61.6342112045739
U45328_s_at,61.5903370466733
M21934_at,60.6278539180207
Y13896_at,60.2089790024878
U79257_at,59.8118029180032
M19483_at,58.2589405054576
Z70276_s_at,57.961251992479
U31501_at,57.7015779474753
AF002020_at,57.5669448735381
S69370_s_at,57.2513881838185
D32202_at,54.94331738637
X59727_at,54.8176836265534
M19878_at,54.5447681851274
D30758_at,53.9123821704653
U66661_at,53.8380873342863
L07261_s_at,53.3181692069268
Y13618_at,52.4264952824637
X91868_at,52.4176833776217
X81817_at,51.7057426164702
U57092_at,51.0744386022463
M17754_at,50.9922649088487
U15782_at,50.1500065738549
M19154_at,49.5498511027511
X90530_at,47.6868794301935
D14661_at,47.3516344031146
K03207_f_at,47.0161375776657
X04526_at,46.9077041557986
U46025_at,46.5238031731681
D25218_at,46.1657072541555
L40395_at,45.5280095698874
X03635_at,44.7493015928323
S62904_s_at,44.5766543778519
X92762_at,44.2357275801796
M60858_rna1_at,44.0759185252738
X74104_at,43.8022767512629
